id,season,city,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue
70,2008,City5,Team5,Team9,Team9,field,normal,0,Team9,0,7,Player 407,Stadium5
71,2008,City13,Team6,Team10,Team6,bat,normal,0,Team10,0,9,Player 175,Stadium12
72,2008,City6,Team2,Team1,Team1,field,normal,0,Team1,0,10,Player 26,Stadium13
73,2008,City10,Team7,Team8,Team7,bat,normal,0,Team8,0,4,Player 395,stadium35
74,2008,City5,Team10,Team5,Team10,bat,normal,0,Team10,13,0,Player 273,Stadium5
75,2008,City8,Team6,Team2,Team6,bat,normal,0,Team2,0,7,Player 411,Stadium7
76,2008,City9,Team7,Team5,Team5,field,normal,0,Team7,10,0,Player 142,Stadium8
77,2008,City1,Team1,Team8,Team8,field,normal,0,Team8,0,7,Player 382,Stadium1
78,2008,City12,Team9,Team6,Team9,bat,normal,0,Team9,45,0,Player 369,Stadium11
79,2008,City13,Team10,Team7,Team10,bat,normal,0,Team7,0,8,Player 442,Stadium12
80,2008,City1,Team1,Team5,Team1,bat,normal,0,Team5,0,5,Player 323,Stadium1
81,2008,City10,Team8,Team6,Team8,bat,normal,0,Team8,9,0,Player 159,stadium35
82,2008,City6,Team2,Team7,Team7,field,normal,0,Team2,29,0,Player 396,Stadium13
83,2008,City12,Team10,Team9,Team10,bat,normal,0,Team9,0,8,Player 400,Stadium11
84,2008,City5,Team5,Team8,Team8,field,normal,0,Team8,0,6,Player 364,Stadium5
85,2008,City13,Team10,Team1,Team1,field,normal,0,Team1,0,7,Player 26,Stadium12
86,2008,City6,Team9,Team2,Team2,field,normal,0,Team2,0,7,Player 10,Stadium13
87,2008,City9,Team7,Team10,Team10,field,normal,0,Team10,0,4,Player 273,Stadium8
88,2008,City8,Team6,Team5,Team6,bat,normal,0,Team6,5,0,Player 379,Stadium7
89,2008,City12,Team1,Team9,Team9,field,normal,0,Team9,0,8,Player 464,Stadium11
90,2008,City5,Team5,Team2,Team2,field,normal,0,Team2,0,9,Player 99,Stadium5
91,2008,City13,Team10,Team8,Team8,field,normal,0,Team10,18,0,Player 218,Stadium12
92,2008,City1,Team6,Team1,Team6,bat,normal,0,Team6,23,0,Player 379,Stadium1
93,2008,City12,Team7,Team9,Team9,field,normal,0,Team9,0,3,Player 407,Stadium11
94,2008,City10,Team5,Team8,Team5,bat,normal,0,Team8,0,9,Player 382,stadium35
95,2008,City8,Team6,Team7,Team6,bat,normal,0,Team6,23,0,Player 387,Stadium7
96,2008,City6,Team10,Team2,Team2,field,normal,0,Team2,0,9,Player 411,Stadium6
97,2008,City10,Team8,Team9,Team9,field,normal,0,Team8,41,0,Player 382,stadium35
98,2008,City9,Team7,Team1,Team1,field,normal,0,Team7,12,0,Player 7,Stadium8
99,2008,City6,Team6,Team2,Team2,field,normal,0,Team2,0,8,Player 396,Stadium6
100,2008,City9,Team7,Team8,Team7,bat,normal,1,Team8,6,0,Player 125,Stadium8
101,2008,City12,Team9,Team5,Team5,field,normal,0,Team9,65,0,Player 141,Stadium11
102,2008,City1,Team2,Team1,Team1,field,normal,0,Team2,25,0,Player 111,Stadium1
103,2008,City8,Team6,Team10,Team6,bat,normal,1,Team10,3,0,Player 236,Stadium7
104,2008,City5,Team5,Team7,Team7,field,normal,0,Team7,0,5,Player 402,Stadium5
105,2008,City8,Team6,Team9,Team9,field,normal,0,Team9,0,6,Player 464,Stadium7
106,2008,City6,Team8,Team2,Team2,field,normal,0,Team8,1,0,Player 382,Stadium6
107,2008,City13,Team5,Team10,Team5,bat,normal,0,Team5,14,0,Player 6,Stadium12
108,2008,City10,Team1,Team8,Team8,field,normal,0,Team8,0,6,Player 382,stadium35
109,2008,City9,Team2,Team7,Team7,field,normal,0,Team7,0,5,Player 202,Stadium8
110,2008,City13,Team9,Team10,Team9,bat,normal,0,Team9,10,0,Player 170,Stadium12
111,2008,City5,Team5,Team1,Team1,field,normal,0,Team5,3,0,Player 292,Stadium5
112,2008,City8,Team8,Team6,Team8,bat,normal,0,Team6,0,3,Player 437,Stadium7
113,2008,City12,Team2,Team9,Team9,field,normal,0,Team9,0,5,Player 400,Stadium11
114,2008,City1,Team1,Team10,Team1,bat,normal,0,Team10,0,7,Player 390,Stadium1
115,2008,City6,Team9,Team7,Team7,field,normal,0,Team9,105,0,Player 407,Stadium6
116,2008,City6,Team8,Team10,Team8,bat,normal,0,Team10,0,9,Player 236,Stadium6
117,2008,City6,Team10,Team9,Team9,field,normal,0,Team9,0,3,Player 464,Stadium13
118,2009,City14,Team2,Team10,Team10,field,normal,0,Team2,19,0,Player 406,Stadium14
119,2009,City14,Team5,Team9,Team5,bat,normal,0,Team5,75,0,Player 315,Stadium14
120,2009,City14,Team8,Team7,Team7,field,normal,1,Team7,0,10,Player 120,Stadium14
121,2009,City14,Team6,Team1,Team6,bat,normal,0,Team1,0,8,Player 336,Stadium14
122,2009,City15,Team10,Team5,Team10,bat,normal,0,Team10,92,0,Player 235,Stadium15
123,2009,City16,Team8,Team6,Team6,field,normal,1,Team6,11,0,Player 87,Stadium16
124,2009,City14,Team1,Team5,Team1,bat,normal,0,Team1,24,0,Player 26,Stadium14
125,2009,City16,Team7,Team10,Team7,bat,normal,0,Team7,9,0,Player 21,Stadium16
126,2009,City14,Team9,Team6,Team6,field,tie,0,Team9,0,0,Player 464,Stadium14
127,2009,City16,Team5,Team8,Team5,bat,normal,0,Team8,0,7,Player 343,Stadium16
128,2009,City16,Team1,Team2,Team1,bat,normal,0,Team1,12,0,Player 306,Stadium16
129,2009,City15,Team5,Team7,Team5,bat,normal,0,Team7,0,6,Player 427,Stadium15
130,2009,City14,Team8,Team9,Team8,bat,normal,0,Team8,27,0,Player 201,Stadium14
131,2009,City16,Team10,Team1,Team1,field,normal,0,Team1,0,6,Player 152,Stadium16
132,2009,City15,Team2,Team6,Team2,bat,normal,0,Team2,92,0,Player 406,Stadium15
133,2009,City17,Team7,Team9,Team7,bat,normal,0,Team9,0,5,Player 464,Stadium17
134,2009,City16,Team6,Team5,Team6,bat,normal,0,Team5,0,5,Player 277,Stadium16
135,2009,City16,Team8,Team2,Team8,bat,normal,0,Team8,3,0,Player 201,Stadium16
136,2009,City17,Team1,Team7,Team7,field,normal,0,Team7,0,6,Player 123,Stadium17
137,2009,City17,Team10,Team9,Team9,field,normal,0,Team10,38,0,Player 390,Stadium17
138,2009,City18,Team2,Team6,Team2,bat,normal,0,Team2,9,0,Player 187,Stadium18
139,2009,City16,Team5,Team8,Team5,bat,normal,0,Team5,8,0,Player 467,Stadium16
140,2009,City15,Team1,Team9,Team1,bat,normal,0,Team9,0,3,Player 464,Stadium15
141,2009,City19,Team10,Team7,Team7,field,normal,0,Team10,18,0,Player 375,Stadium19
142,2009,City15,Team6,Team8,Team6,bat,normal,0,Team8,0,6,Player 125,Stadium15
143,2009,City19,Team2,Team5,Team2,bat,normal,0,Team5,0,9,Player 179,Stadium19
144,2009,City18,Team10,Team1,Team10,bat,normal,0,Team10,78,0,Player 273,Stadium18
145,2009,City16,Team9,Team8,Team8,field,normal,0,Team9,78,0,Player 141,Stadium16
146,2009,City16,Team6,Team7,Team6,bat,normal,0,Team7,0,9,Player 139,Stadium16
147,2009,City17,Team1,Team2,Team1,bat,normal,0,Team1,19,0,Player 331,Stadium17
148,2009,City17,Team5,Team9,Team9,field,normal,0,Team9,0,7,Player 11,Stadium17
149,2009,City17,Team10,Team8,Team10,bat,normal,1,Team10,12,0,Player 259,Stadium17
150,2009,City18,Team2,Team7,Team2,bat,normal,0,Team7,0,7,Player 10,Stadium18
151,2009,City20,Team1,Team8,Team8,field,normal,0,Team8,0,3,Player 125,Stadium20
152,2009,City20,Team9,Team10,Team9,bat,normal,0,Team10,0,7,Player 352,Stadium20
153,2009,City15,Team2,Team5,Team2,bat,normal,0,Team2,16,0,Player 187,Stadium15
154,2009,City19,Team6,Team7,Team7,field,normal,0,Team7,0,7,Player 7,Stadium19
155,2009,City20,Team1,Team9,Team1,bat,normal,0,Team1,53,0,Player 127,Stadium20
156,2009,City17,Team6,Team5,Team5,field,normal,0,Team5,0,6,Player 227,Stadium17
157,2009,City17,Team8,Team2,Team8,bat,normal,0,Team2,0,8,Player 149,Stadium17
158,2009,City16,Team7,Team1,Team1,field,normal,0,Team7,12,0,Player 312,Stadium16
159,2009,City16,Team10,Team5,Team10,bat,normal,0,Team5,0,2,Player 227,Stadium16
160,2009,City16,Team9,Team2,Team9,bat,normal,0,Team9,2,0,Player 392,Stadium16
161,2009,City21,Team7,Team8,Team8,field,normal,0,Team8,0,6,Player 62,Stadium21
162,2009,City15,Team2,Team10,Team2,bat,normal,0,Team10,0,7,Player 259,Stadium15
163,2009,City19,Team6,Team1,Team1,field,normal,0,Team1,0,6,Player 331,Stadium19
164,2009,City19,Team8,Team1,Team1,field,normal,0,Team8,1,0,Player 467,Stadium19
165,2009,City21,Team7,Team9,Team7,bat,normal,0,Team7,14,0,Player 21,Stadium21
166,2009,City17,Team10,Team6,Team10,bat,normal,0,Team6,0,7,Player 75,Stadium17
167,2009,City19,Team7,Team5,Team7,bat,normal,0,Team5,0,7,Player 179,Stadium19
168,2009,City16,Team9,Team6,Team6,field,normal,0,Team6,0,4,Player 226,Stadium16
169,2009,City16,Team10,Team8,Team10,bat,normal,0,Team10,24,0,Player 235,Stadium16
170,2009,City17,Team2,Team7,Team7,field,normal,0,Team7,0,4,Player 442,Stadium17
171,2009,City17,Team5,Team1,Team5,bat,normal,0,Team5,12,0,Player 257,Stadium17
172,2009,City17,Team7,Team1,Team1,field,normal,0,Team1,0,6,Player 26,Stadium17
173,2009,City19,Team10,Team5,Team5,field,normal,0,Team5,0,6,Player 257,Stadium19
174,2009,City19,Team1,Team5,Team5,field,normal,0,Team1,6,0,Player 6,Stadium19
175,2010,City6,Team6,Team1,Team1,field,normal,0,Team6,11,0,Player 30,Stadium13
176,2010,City6,Team2,Team9,Team2,bat,normal,0,Team2,4,0,Player 464,Stadium22
177,2010,City10,Team8,Team7,Team7,field,normal,0,Team7,0,5,Player 139,stadium35
178,2010,City8,Team5,Team6,Team6,field,normal,0,Team6,0,7,Player 258,Stadium7
179,2010,City13,Team1,Team10,Team1,bat,normal,0,Team1,31,0,Player 457,Stadium12
180,2010,City22,Team9,Team7,Team7,field,normal,0,Team7,0,6,Player 442,Stadium23
181,2010,City5,Team8,Team5,Team8,bat,normal,0,Team5,0,8,Player 179,Stadium5
182,2010,City8,Team10,Team6,Team10,bat,normal,0,Team10,55,0,Player 273,Stadium7
183,2010,City9,Team2,Team7,Team7,field,normal,0,Team2,98,0,Player 406,Stadium8
184,2010,City5,Team9,Team5,Team5,field,normal,0,Team5,0,10,Player 179,Stadium5
185,2010,City9,Team7,Team10,Team7,bat,normal,0,Team10,0,5,Player 259,Stadium8
186,2010,City23,Team1,Team8,Team8,field,normal,0,Team1,6,0,Player 12,Stadium24
187,2010,City22,Team9,Team6,Team9,bat,normal,0,Team9,34,0,Player 17,Stadium23
188,2010,City6,Team2,Team5,Team2,bat,normal,0,Team5,0,7,Player 179,Stadium22
189,2010,City23,Team1,Team7,Team1,bat,normal,0,Team1,10,0,Player 12,Stadium24
190,2010,City13,Team8,Team10,Team10,field,tie,0,Team8,0,0,Player 168,Stadium12
191,2010,City6,Team6,Team2,Team6,bat,normal,0,Team2,0,7,Player 406,Stadium22
192,2010,City5,Team5,Team10,Team10,field,normal,0,Team5,36,0,Player 348,Stadium5
193,2010,City10,Team9,Team8,Team8,field,normal,0,Team9,31,0,Player 28,stadium35
194,2010,City6,Team10,Team2,Team2,field,normal,0,Team2,0,5,Player 406,Stadium22
195,2010,City22,Team1,Team9,Team1,bat,normal,0,Team9,0,8,Player 464,Stadium23
196,2010,City10,Team6,Team8,Team6,bat,normal,0,Team6,39,0,Player 258,stadium35
197,2010,City5,Team7,Team5,Team5,field,normal,0,Team7,17,0,Player 209,Stadium5
198,2010,City22,Team9,Team10,Team9,bat,normal,0,Team9,17,0,Player 288,Stadium23
199,2010,City6,Team2,Team1,Team1,field,normal,0,Team2,41,0,Player 149,Stadium13
200,2010,City9,Team7,Team6,Team7,bat,normal,0,Team7,40,0,Player 105,Stadium8
201,2010,City6,Team8,Team2,Team2,field,normal,0,Team2,0,4,Player 393,Stadium22
202,2010,City13,Team5,Team10,Team5,bat,normal,0,Team10,0,5,Player 238,Stadium12
203,2010,City9,Team7,Team9,Team7,bat,normal,0,Team7,67,0,Player 202,Stadium8
204,2010,City8,Team6,Team1,Team6,bat,normal,0,Team6,24,0,Player 379,Stadium7
205,2010,City10,Team8,Team5,Team8,bat,normal,0,Team5,0,6,Player 212,stadium35
206,2010,City13,Team10,Team9,Team10,bat,normal,0,Team10,23,0,Player 238,Stadium12
207,2010,City6,Team2,Team1,Team2,bat,normal,0,Team2,63,0,Player 55,Stadium22
208,2010,City8,Team6,Team8,Team6,bat,normal,0,Team8,0,8,Player 125,Stadium7
209,2010,City9,Team7,Team5,Team7,bat,normal,0,Team7,37,0,Player 301,Stadium8
210,2010,City24,Team9,Team1,Team9,bat,normal,0,Team9,2,0,Player 392,Stadium25
211,2010,City13,Team10,Team2,Team10,bat,normal,0,Team10,24,0,Player 390,Stadium12
212,2010,City12,Team8,Team9,Team8,bat,normal,0,Team9,0,9,Player 255,Stadium11
213,2010,City8,Team6,Team7,Team6,bat,normal,0,Team6,14,0,Player 379,Stadium7
214,2010,City5,Team5,Team1,Team1,field,normal,0,Team1,0,7,Player 426,Stadium5
215,2010,City10,Team2,Team8,Team2,bat,normal,0,Team8,0,6,Player 201,stadium35
216,2010,City24,Team10,Team1,Team10,bat,normal,0,Team1,0,6,Player 332,Stadium25
217,2010,City5,Team6,Team5,Team5,field,normal,0,Team5,0,7,Player 323,Stadium5
218,2010,City9,Team7,Team8,Team7,bat,normal,0,Team8,0,7,Player 305,Stadium8
219,2010,City12,Team2,Team9,Team9,field,normal,0,Team2,37,0,Player 406,Stadium11
220,2010,City24,Team1,Team5,Team5,field,normal,0,Team1,13,0,Player 150,Stadium25
221,2010,City6,Team2,Team7,Team2,bat,normal,0,Team2,39,0,Player 193,Stadium22
222,2010,City13,Team6,Team10,Team6,bat,normal,0,Team10,0,9,Player 311,Stadium12
223,2010,City12,Team9,Team5,Team9,bat,normal,0,Team5,0,5,Player 212,Stadium11
224,2010,City13,Team10,Team7,Team10,bat,normal,0,Team7,0,6,Player 139,Stadium12
225,2010,City25,Team8,Team1,Team1,field,normal,0,Team1,0,5,Player 331,Stadium26
226,2010,City5,Team2,Team5,Team5,field,normal,0,Team2,57,0,Player 316,Stadium5
227,2010,City8,Team9,Team6,Team9,bat,normal,0,Team6,0,8,Player 174,Stadium7
228,2010,City25,Team8,Team10,Team10,field,normal,0,Team10,0,6,Player 273,Stadium26
229,2010,City9,Team1,Team7,Team1,bat,normal,0,Team1,11,0,Player 12,Stadium8
230,2010,City8,Team2,Team6,Team2,bat,normal,0,Team6,0,9,Player 231,Stadium7
231,2010,City6,Team2,Team5,Team2,bat,normal,0,Team2,35,0,Player 193,Stadium13
232,2010,City6,Team10,Team1,Team10,bat,normal,0,Team10,38,0,Player 109,Stadium13
233,2010,City6,Team1,Team5,Team1,bat,normal,0,Team5,0,9,Player 6,Stadium13
234,2010,City6,Team10,Team2,Team10,bat,normal,0,Team10,22,0,Player 390,Stadium13
235,2011,City13,Team10,Team6,Team10,bat,normal,0,Team10,2,0,Player 349,Stadium12
236,2011,City1,Team1,Team9,Team9,field,normal,0,Team9,0,8,Player 391,Stadium1
237,2011,City26,Team11,Team5,Team11,bat,normal,0,Team5,0,6,Player 21,Stadium27
238,2011,City9,Team7,Team2,Team7,bat,normal,0,Team2,0,8,Player 393,Stadium8
239,2011,City6,Team8,Team4,Team8,bat,normal,0,Team4,0,7,Player 378,Stadium13
240,2011,City8,Team6,Team1,Team6,bat,normal,0,Team6,9,0,Player 179,Stadium7
241,2011,City12,Team7,Team9,Team7,bat,normal,0,Team9,0,6,Player 392,Stadium11
242,2011,City5,Team5,Team2,Team2,field,normal,0,Team2,0,9,Player 406,Stadium5
243,2011,City10,Team10,Team8,Team8,field,normal,0,Team8,0,6,Player 300,stadium35
244,2011,City6,Team11,Team4,Team11,bat,normal,0,Team4,0,4,Player 247,Stadium13
245,2011,City1,Team1,Team5,Team5,field,normal,0,Team1,33,0,Player 132,Stadium1
246,2011,City12,Team9,Team6,Team6,field,normal,0,Team6,0,9,Player 139,Stadium11
247,2011,City6,Team2,Team11,Team11,field,normal,0,Team11,0,8,Player 68,Stadium6
248,2011,City13,Team10,Team5,Team10,bat,normal,0,Team10,21,0,Player 249,Stadium12
249,2011,City1,Team1,Team8,Team8,field,normal,0,Team8,0,8,Player 300,Stadium1
250,2011,City6,Team4,Team7,Team7,field,normal,0,Team7,0,3,Player 467,Stadium13
251,2011,City8,Team9,Team6,Team6,field,normal,0,Team6,0,8,Player 218,Stadium7
252,2011,City26,Team10,Team11,Team11,field,normal,1,Team11,0,7,Player 68,Stadium27
253,2011,City9,Team1,Team7,Team1,bat,normal,0,Team1,16,0,Player 363,Stadium8
254,2011,City6,Team4,Team2,Team4,bat,normal,0,Team2,0,7,Player 260,Stadium6
255,2011,City8,Team11,Team6,Team6,field,normal,0,Team11,6,0,Player 125,Stadium7
256,2011,City10,Team8,Team9,Team9,field,normal,0,Team8,48,0,Player 382,stadium35
257,2011,City6,Team2,Team10,Team10,field,normal,0,Team2,8,0,Player 149,Stadium6
258,2011,City8,Team6,Team5,Team5,field,normal,0,Team5,0,9,Player 87,Stadium7
259,2011,City9,Team7,Team8,Team8,field,normal,0,Team7,29,0,Player 105,Stadium8
260,2011,City1,Team2,Team1,Team1,field,normal,0,Team2,37,0,Player 393,Stadium1
261,2011,City12,Team11,Team9,Team9,field,normal,0,Team9,0,8,Player 392,Stadium11
262,2011,City13,Team10,Team4,Team4,field,normal,0,Team10,25,0,Player 249,Stadium12
263,2011,City9,Team7,Team5,Team5,field,normal,0,Team5,0,3,Player 440,Stadium8
264,2011,City6,Team4,Team10,Team4,bat,normal,0,Team10,0,8,Player 109,Stadium13
265,2011,City26,Team1,Team11,Team11,field,normal,0,Team1,55,0,Player 157,Stadium27
266,2011,City9,Team6,Team7,Team7,field,normal,0,Team6,17,0,Player 258,Stadium8
267,2011,City12,Team2,Team9,Team9,field,normal,0,Team9,0,7,Player 165,Stadium11
268,2011,City5,Team5,Team4,Team4,field,normal,0,Team5,26,0,Player 440,Stadium5
269,2011,City26,Team7,Team11,Team7,bat,normal,0,Team7,38,0,Player 442,Stadium27
270,2011,City8,Team8,Team6,Team6,field,normal,0,Team6,0,8,Player 161,Stadium7
271,2011,City12,Team4,Team9,Team9,field,normal,0,Team9,0,6,Player 227,Stadium11
272,2011,City13,Team10,Team1,Team10,bat,normal,0,Team10,19,0,Player 170,Stadium12
273,2011,City6,Team2,Team8,Team8,field,normal,0,Team2,23,0,Player 193,Stadium6
274,2011,City9,Team7,Team11,Team11,field,normal,0,Team11,0,7,Player 294,Stadium8
275,2011,City1,Team6,Team1,Team1,field,normal,0,Team6,20,0,Player 464,Stadium1
276,2011,City13,Team9,Team10,Team9,bat,normal,0,Team10,0,8,Player 249,Stadium12
277,2011,City6,Team2,Team4,Team4,field,normal,0,Team2,21,0,Player 320,Stadium13
278,2011,City26,Team11,Team6,Team6,field,normal,0,Team11,17,0,Player 75,Stadium27
279,2011,City1,Team1,Team7,Team7,field,normal,0,Team7,0,4,Player 442,Stadium1
280,2011,City5,Team5,Team8,Team8,field,normal,0,Team5,85,0,Player 87,Stadium5
281,2011,City8,Team10,Team6,Team10,bat,normal,1,Team6,10,0,Player 161,Stadium7
282,2011,City6,Team2,Team7,Team7,field,normal,0,Team2,32,0,Player 55,Stadium6
283,2011,City5,Team11,Team5,Team11,bat,normal,0,Team5,0,9,Player 87,Stadium5
284,2011,City10,Team8,Team4,Team8,bat,normal,0,Team4,0,5,Player 320,stadium35
285,2011,City12,Team10,Team9,Team9,field,normal,0,Team10,63,0,Player 238,Stadium11
286,2011,City1,Team1,Team4,Team1,bat,normal,0,Team4,0,6,Player 271,Stadium1
287,2011,City10,Team8,Team2,Team2,field,normal,0,Team8,76,0,Player 64,stadium35
288,2011,City12,Team9,Team5,Team5,field,normal,0,Team5,0,9,Player 350,Stadium11
289,2011,City13,Team10,Team7,Team10,bat,normal,0,Team10,18,0,Player 273,Stadium12
290,2011,City4,Team11,Team8,Team8,field,normal,0,Team8,0,6,Player 202,Stadium4
291,2011,City5,Team6,Team5,Team5,field,normal,1,Team5,0,4,Player 87,Stadium5
292,2011,City6,Team1,Team2,Team1,bat,normal,0,Team1,10,0,Player 7,Stadium6
293,2011,City25,Team8,Team7,Team7,field,normal,0,Team8,29,0,Player 305,Stadium26
294,2011,City4,Team9,Team11,Team11,field,normal,0,Team11,0,8,Player 75,Stadium4
295,2011,City6,Team4,Team1,Team1,field,normal,0,Team1,0,6,Player 7,Stadium13
296,2011,City25,Team8,Team5,Team8,bat,normal,0,Team8,111,0,Player 26,Stadium26
297,2011,City13,Team10,Team11,Team10,bat,normal,0,Team10,11,0,Player 456,Stadium12
298,2011,City6,Team4,Team6,Team6,field,normal,0,Team6,0,7,Player 464,Stadium13
299,2011,City6,Team2,Team9,Team2,bat,normal,0,Team9,0,10,Player 407,Stadium6
